TDL2048-Demo
alpha = 0.1
total = 5000000
seed = 2689549431
6-tuple pattern 012345, size = 16777216 (64MB)
6-tuple pattern 456789, size = 16777216 (64MB)
6-tuple pattern 012456, size = 16777216 (64MB)
6-tuple pattern 45689a, size = 16777216 (64MB)
1000	mean = 7727.33	max = 26968
	4	0.2%	(100%)
	8	0.1%	(99.8%)
	32	0.2%	(99.7%)
	64	0.9%	(99.5%)
	128	6.3%	(98.6%)
	256	22.3%	(92.3%)
	512	44.5%	(70%)
	1024	24.8%	(25.5%)
	2048	0.7%	(0.7%)
2000	mean = 11708.8	max = 32384
	128	0.5%	(100%)
	256	7.9%	(99.5%)
	512	37.2%	(91.6%)
	1024	50.5%	(54.4%)
	2048	3.9%	(3.9%)
3000	mean = 13503.1	max = 35044
	128	0.2%	(100%)
	256	4.2%	(99.8%)
	512	29%	(95.6%)
	1024	59.6%	(66.6%)
	2048	7%	(7%)
4000	mean = 15644.6	max = 38776
	128	0.3%	(100%)
	256	2.3%	(99.7%)
	512	23.2%	(97.4%)
	1024	59.5%	(74.2%)
	2048	14.7%	(14.7%)
5000	mean = 17049.3	max = 48428
	128	0.2%	(100%)
	256	2.4%	(99.8%)
	512	18.9%	(97.4%)
	1024	60%	(78.5%)
	2048	18.3%	(18.5%)
	4096	0.2%	(0.2%)
6000	mean = 18221.9	max = 57040
	128	0.2%	(100%)
	256	2.3%	(99.8%)
	512	16.4%	(97.5%)
	1024	58.3%	(81.1%)
	2048	22.4%	(22.8%)
	4096	0.4%	(0.4%)
7000	mean = 18958.6	max = 64536
	128	0.2%	(100%)
	256	1.1%	(99.8%)
	512	16%	(98.7%)
	1024	55.8%	(82.7%)
	2048	26.3%	(26.9%)
	4096	0.6%	(0.6%)
8000	mean = 20310.3	max = 62116
	128	0.1%	(100%)
	256	0.5%	(99.9%)
	512	13.7%	(99.4%)
	1024	55.5%	(85.7%)
	2048	29.5%	(30.2%)
	4096	0.7%	(0.7%)
9000	mean = 21583.3	max = 65860
	256	0.6%	(100%)
	512	9.8%	(99.4%)
	1024	53.9%	(89.6%)
